Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17342.4719395745,16441.7906361916,16585.1955307263,17926.5728361165,19081.351656125,19356.2033894901,20620.7006259175,20670.6556635493,20434.2994364477,20834.5101990131,22567.8249248908,23302.8319880055,24014.9442670501,25921.026051998,27546.8993898034,24631.4348604167,24271.9404205267,25324.7203624669,25324.7203624669,25324.7203624669,25324.7203624669,25324.7203624669,25324.7203624669
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,59.7773265084,59.8781528089,58.4928738323,78.7827580363,82.2084438594,101.2904712742,137.899361897,161.3220000885,129.5066538443,129.7985414084,157.1874223892,160.3728355542,136.1170143812,144.1103189293,174.9420383195,187.9756040137,199.0261727291,226.0053437593,249.2873862618,277.9007416651,274.8808587015,266.4930418087,,,,,,,,,,,,,,,,,,,,117.409690795,187.8450949554,198.7285435523,219.1413527855,250.2941299095,272.5630770181,369.8357959698,373.3611163,445.8932979237,553.3002893831,603.5370230624,669.009050888,631.7449706415,612.0696513912,584.0259020558,561.7787462695
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,630.0749849618,612.0748403846,595.8577543886,580.5550248715,847.7667242074,823.7921843366,965.3612963504,438.3205196015,393.7845208504,293.2782224051,353.1820450992,512.6209658877,506.8849521934,415.693345858,385.7688534729,555.2969418633,526.1687429969,711.1817159535,779.4683055987,1041.0868439286,1443.9919285637,2062.4151494258,2878.8371439308,3868.5788828975,3347.8448503364,3529.0534817376,4299.0128887792,4598.2499876544,4804.6168835472,4709.3120236738,3695.7937481466,3110.8081826301
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,662.5200523091,662.9147925671,719.1572957039,699.3842920867,676.56673252,723.4096102379,639.4638992899,348.711317787,218.4921659026,380.5273710843,619.0651634471,760.5593757741,1046.3585107075,749.5846490146,865.3021617699,1098.4254634068,1175.7889807947,1326.9703392981,1453.6427765718,1890.6815573351,2416.5882350519,2709.1429306139,3005.0129033185,3603.0136853664,4370.5396465315,4114.1365449095,4094.3588319192,4437.1780684361,4247.6143082625,4414.7231395733,4575.7637866622,3954.0227832601,4146.896250462
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3238.5568497733,3498.1736515232,4217.1735811425,5342.1685604421,6319.7390338484,7169.1010055956,7152.3751336105,7751.3702157589,9129.7061851808,11820.8493928325,12377.4116456877,10372.232834745,9610.2663083158,8022.6547812816,7728.9066945694,7774.3938290348,10361.8159820255,12616.167565929,14304.3569645785,15166.437850754,18878.5059692988,19532.5401504525,20547.7117897897,16516.4710272204,16234.8090102012,18461.0648581512,19017.1745902241,18353.0597218473,18894.5214963227,19261.7105038886,21435.9264041271,22037.3605543684,24518.3430618223,32438.6839009185,38255.9504989711,41185.9890206932,43666.985144989,48510.4672826221,47712.2990809422,43215.6870129515,39627.6635163399,40919.1832785953,38167.0957462493,40215.4353174077,,,40215.4353174077
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,222.6888511188,238.9096770723,256.4208872911,289.5450059936,335.083670169,414.0973986818,769.1901572149,826.0032503522,996.6545472783,1114.4003483975,1182.827294067,1550.2359834145,2041.0314179704,2037.9352320338,1837.6599206858,1670.0703748515,1641.3812215463,1572.0508262801,1451.7237530566,1525.7040563592,1458.4333023012,1486.8259756842,1988.4587397716,1905.2091554216,2004.6339795469,1974.8905900683,1970.3157349886,2053.7214208628,2216.7751237847,2300.5881269061,2172.8480055305,2316.4592925295,2589.6484501461,2495.366312012,2462.7914416264,2721.6157208271,3117.6608060124,3745.7909299172,4336.7185834118,4937.5982177301,6114.0399593607,5157.2528982767,5916.3296235111,6856.5936784574,7341.239892,7435.8891209303,7446.3696607244,6430.0719573675,6153.0695472879
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,26556.080029911,29698.1692220993,33245.8360986374,27897.3270935772,32798.4782338538,41825.995457574,44012.333067279,39193.7409726279,34159.0373526707,31709.2543340905,29189.1677892304,23056.1045271808,23312.9295261613,21907.5979773605,23612.7451969684,27256.2909428352,26168.2666231036,25993.558007767,25199.3495771446,25467.1922190635,26847.080053195,28615.5821410126,29199.524610859,26663.3087045186,28260.0050167828,33071.2686869422,31061.5293454235,31311.3593562152,33230.5231807291,36161.1706068291,39439.8019679284,42372.2216623658,42672.6132294857,45758.9055356627,33072.5751663719,35049.1483167837,40462.3120904192,42112.2356483963,43350.6426817411,44449.7403487138,39101.7468901055,37622.2074575932
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,1148.5799570666,845.0771842022,1166.3173995762,1272.010496008,1266.3449885815,1057.7556614712,1136.5178322317,1324.082934707,1317.4877550267,1366.3547264944,1401.4877945432,2083.9722181289,2824.6509151884,2011.6890403249,1932.590782074,2112.5011733679,2129.313793113,2501.4807528774,2738.284723185,2756.3969813236,2907.7576270116,3530.1317831417,2643.3693981316,2909.5166101341,3595.0858982317,3546.7188201556,3969.3274116628,2375.3391027256,4318.7746995077,5715.504396573,6798.0267627293,6940.3503580691,7449.4803897724,7373.4282456824,7683.5740648377,8172.6643230617,8248.7619886434,7736.3696225405,7669.2739155407,7170.6946736519,2579.1931682121,3330.4370058355,4251.5743481987,5076.8838291729,5878.7610273521,7193.6176397352,8953.3592752628,8161.3069664865,10276.2604977053,12726.9083594731,12969.7071238969,12976.6364245411,12245.2564487696,13467.1023570022,12449.2168521177
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,637.8557411616,590.1222257416,369.6333871949,357.2043385165,400.5160919461,456.3758997407,504.0595140141,523.2835691012,609.1730254216,597.4334817469,622.742747688,694.4305119323,783.26160987,930.1661567015,1191.9619199071,1643.758397064,2158.0029089546,3138.8087034125,4010.0269972269,2993.8325310903,3218.3816548847,3526.9781426766,3684.8048103265,3843.5912130934,3994.7123547957,3609.6547758266,3606.1520571515
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751.7665287497,8914.5254326167,8639.3088552916,8508.4069149836,8456.9479965899,8980.5364143481,9871.9971944591,12058.26382343,10352.8227618312,10375.9942154736,11660.329531052,11553.6912144936,11508.5592654725,11541.8549795632,11541.8549795632
